!x y z r th V Ex Ey Ez Er Et
702.0 81.5 -0.5 706.71511233311 6.62221416622196 -14619.1206440859 -6402.0395825227 -749.090618291342 405.059420269582 -6445.71283792577 -5.79496319443681
702.0 81.5 -0.3 706.71511233311 6.62221416622196 -14674.3030118838 -6321.59712355943 -732.925078968516 264.161249069168 -6363.94283380594 0.985913732473539
702.0 81.5 -0.0999999999999996 706.71511233311 6.62221416622196 -14732.5641074657 -6237.41832447519 -715.916595918166 124.575970574459 -6278.36420775099 8.17322710293634
702.0 81.5 0.100000000000001 706.71511233311 6.62221416622196 -14738.7011344212 -6216.51070282656 -709.886639327404 -29.7392190417 -6256.90069070604 11.7518379437352
702.0 81.5 0.300000000000001 706.71511233311 6.62221416622196 -14708.0352529596 -6245.10325525834 -710.416145885982 -187.470447973296 -6285.36354121057 14.5232226005631
702.0 81.5 0.5 706.71511233311 6.62221416622196 -14674.6392526459 -6282.37984376393 -713.597872924109 -345.342264892902 -6322.75834913719 15.6615449151725
702.0 81.5 0.7 706.71511233311 6.62221416622196 -14613.4245616291 -6400.84384256095 -739.292725266233 -499.945567785306 -6443.39516039757 3.79966408664565
702.0 81.5 0.9 706.71511233311 6.62221416622196 -14499.6508729219 -6540.77102493644 -768.123022425561 -690.806677903141 -6585.71354228987 -8.7015589494359
702.0 81.5 1.1 706.71511233311 6.62221416622196 -14356.411688796 -6790.99615620938 -800.518237590581 -911.785341994489 -6838.00509383307 -12.024104068569
702.0 81.5 1.3 706.71511233311 6.62221416622196 -14167.0230495049 -7032.4342986126 -823.84777200799 -1192.19891791362 -7080.52280716775 -7.35478911087993
702.0 81.5 1.5 706.71511233311 6.62221416622196 -13862.1039583402 -7326.36288316846 -861.188954377097 -1603.27163851558 -7376.79660840295 -10.550320580916
702.0 81.5 1.7 706.71511233311 6.62221416622196 -13435.5441097905 -7561.24878336747 -891.200745036248 -2129.07974191599 -7613.5764082943 -13.2742982388291
702.0 81.5 1.9 706.71511233311 6.62221416622196 -13067.3911849561 -7894.75279734473 -928.003638746369 -2623.9507747217 -7949.09952009899 -11.3712035813483
702.0 81.5 2.1 706.71511233311 6.62221416622196 -12396.2566214461 -7985.58787277865 -923.475606561629 -3749.49135983462 -8038.8063725848 3.60192640679898
702.0 81.5 2.3 706.71511233311 6.62221416622196 -11648.3556961584 -7838.51841537466 -884.275036157459 -4794.51397485319 -7888.19744442115 25.5805700982051
702.0 81.5 2.5 706.71511233311 6.62221416622196 -10684.2259969622 -7405.72837080584 -803.327261893528 -5308.86054984959 -7448.95983725434 56.0779353374567
702.0 81.5 2.7 706.71511233311 6.62221416622196 -9478.51117667006 -6263.67722038108 -684.407364686578 -5700.18811111339 -6300.8141912078 42.5004686144633
702.0 81.5 2.9 706.71511233311 6.62221416622196 -8379.65453228522 -5753.70495950962 -624.921898354375 -5278.97090450781 -5787.38439990201 42.777890309232
702.0 81.5 3.1 706.71511233311 6.62221416622196 -7340.31049340102 -5395.21173160344 -573.106984538508 -4936.52843860162 -5425.30757856255 52.9048442960489
702.0 81.5 3.3 706.71511233311 6.62221416622196 -6439.04951646441 -5305.79618632629 -560.2195474045 -4354.69437053315 -5335.00239363409 55.394693313395
702.0 81.5 3.5 706.71511233311 6.62221416622196 -5636.7676630225 -5441.79716869233 -575.742491323644 -3664.81051145989 -5471.88613626555 55.6592602206679
702.0 81.5 3.7 706.71511233311 6.62221416622196 -4991.47889055214 -5403.07757104954 -566.995876574149 -2634.05660259268 -5432.41619121904 59.8822862946464
702.0 81.5 3.9 706.71511233311 6.62221416622196 -4616.99730006232 -5624.91839872302 -602.593684998748 -645.986267643457 -5656.88214595105 50.1051725212212
702.0 82.0 -3.9 706.772947982589 6.66247710659626 -3802.29086375494 -6542.95002652279 -697.586153675165 458.826351041591 -6579.69860970813 66.2396918678553
702.0 82.0 -3.7 706.772947982589 6.66247710659626 -4030.84991124919 -6478.28991352626 -783.916940243786 2396.59380812937 -6525.4912791442 -27.0099742731734
702.0 82.0 -3.5 706.772947982589 6.66247710659626 -4691.96047478197 -6014.07394922607 -709.862797999151 3715.02385750907 -6055.81845486546 -7.31440043598587
702.0 82.0 -3.3 706.772947982589 6.66247710659626 -5532.81496790846 -5937.43138179494 -703.980451448598 4750.86386248318 -5979.01099511654 -10.3638709300333
702.0 82.0 -3.1 706.772947982589 6.66247710659626 -6497.80833469804 -5802.85688812014 -723.022155882522 5360.20298668118 -5847.55452799888 -44.8903550910387
702.0 82.0 -2.9 706.772947982589 6.66247710659626 -7526.33700034128 -5863.80581019584 -746.451166380313 5613.78401675327 -5910.81009300823 -61.0898344173523
702.0 82.0 -2.7 706.772947982589 6.66247710659626 -8649.9685311682 -6396.6524603214 -799.040569317064 5500.37044513022 -6446.15978417705 -51.5030718395869
702.0 82.0 -2.5 706.772947982589 6.66247710659626 -9844.23726606972 -7243.38120456166 -862.53262038325 5487.09840224181 -7294.53680307061 -16.3286395835143
702.0 82.0 -2.3 706.772947982589 6.66247710659626 -10799.1096487665 -7729.87412353847 -923.359758447025 4591.21765959754 -7784.80154145939 -20.3019545960477
702.0 82.0 -2.1 706.772947982589 6.66247710659626 -11718.5633513733 -8118.87805205547 -959.101866458138 3911.23323824794 -8175.32527537378 -10.6703432928376
702.0 82.0 -1.9 706.772947982589 6.66247710659626 -12354.6361746975 -7991.10829226738 -945.2334951362 2888.54160937911 -8046.80935229141 -11.7195113980102
702.0 82.0 -1.7 706.772947982589 6.66247710659626 -12907.9031841512 -7843.16467020468 -910.782997721462 2166.82459394456 -7895.86786000519 5.33387499773224
702.0 82.0 -1.5 706.772947982589 6.66247710659626 -13263.0659593137 -7456.91760505347 -855.690061822147 1744.11339708075 -7505.83728333025 15.2422645009073
702.0 82.0 -1.3 706.772947982589 6.66247710659626 -13651.0695363938 -7183.64153215034 -827.642587303726 1351.52916287422 -7231.15261034913 11.3947617436414
702.0 82.0 -1.1 706.772947982589 6.66247710659626 -13865.6211349172 -6938.61959409878 -804.02872965239 1027.38881252732 -6985.04565713861 6.42163584935831
702.0 82.0 -0.9 706.772947982589 6.66247710659626 -14020.0130368088 -6635.05950231943 -776.784927741889 805.524215921267 -6680.37472031172 -1.73767273934015
702.0 82.0 -0.7 706.772947982589 6.66247710659626 -14122.0764065713 -6486.08020275897 -761.82054939967 633.193351540621 -6530.66532973935 -4.15897221409467
702.0 82.0 -0.5 706.772947982589 6.66247710659626 -14255.7607941244 -6332.98883861091 -744.043517875982 440.967719649441 -6376.5453191648 -4.26369570517166
702.0 82.0 -0.3 706.772947982589 6.66247710659626 -14324.5472028291 -6274.19495817275 -737.070485227748 272.311391850168 -6317.33946972732 -4.15903589420691
702.0 82.0 -0.0999999999999996 706.772947982589 6.66247710659626 -14374.7156759922 -6200.81514986258 -733.18318032405 128.891654531041 -6244.00420048167 -8.81152895923372
702.0 82.0 0.100000000000001 706.772947982589 6.66247710659626 -14377.9043443675 -6189.08793317486 -734.677106890796 -14.6554478932743 -6232.52950530629 -11.6559618481658
702.0 82.0 0.300000000000001 706.772947982589 6.66247710659626 -14344.0800271303 -6233.68923432108 -739.862359390157 -161.977320717016 -6277.43120138872 -11.6315417858412
